7x1
10x1
13x1
16x1
19x1
22x1
25x1
28x1
31x1
1x3
4x3
7x3
10x3
13x3
16x3
19x3
22x3
25x3
28x3
31x3
34x3
1x5
4x5
7x5
10x5
13x5
16x5
19x5
22x5
25x5
28x5
31x5
34x5
1x7
4x7
7x7
10x7
13x7
16x7
19x7
22x7
25x7
28x7
31x7
34x7
1x9
4x9
7x9
10x9
13x9
16x9
19x9
22x9
25x9
28x9
31x9
34x9
1x11
4x11
7x11
10x11
13x11
16x11
19x11
22x11
25x11
28x11
31x11
34x11
1x13
4x13
7x13
10x13
13x13
16x13
19x13
22x13
25x13
28x13
31x13
34x13
1x15
4x15
7x15
10x15
13x15
16x15
19x15
22x15
25x15
28x15
31x15
34x15
1x17
4x17
7x17
10x17
13x17
16x17
19x17
22x17
25x17
28x17
31x17
34x17
1x19
4x19
7x19
10x19
13x19
16x19
19x19
22x19
25x19
28x19
31x19
34x19
1x21
4x21
7x21
10x21
13x21
16x21
19x21
22x21
25x21
28x21
31x21
34x21
